1673,ACIDO IOSEFAMICO
1674,PENTAZOCINA
1676,DAPSONA
1677,CARBOCROMENO
1679,LIMECICLINA
168,CICLAMATO DE SODIO
1684,CIPIONATO DE OXABOLONA
1687,FURTERENO
1688,TRICLODAZOL
1689,DIMETIODAL DE SODIO
169,MACROGOL
1691,PIRIDOFILINA
1692,TRITOCUALINA
1694,FENOZOLONA
1695,APOLATO DE SODIO
1696,CLORPRENALINA
1698,MIMBRANO
1699,ETOZOLINA
17,CANFOTAMIDA
1700,HIDROCODONA
1701,OXICODONA
1702,NORPIPANONA
1703,AZIDANFENICOL
1704,METRIFONATO
1705,CUMAFOS
1707,TERIZIDONA
1708,BENCETIMIDA
1709,CITARABINA
171,MEFENESINA
1710,BROMURO DE PARAPENZOLATO
1711,ARGININA
1712,POLIETADENO
1713,MALETAMERO
1714,TRIMETADIONA
1715,NORGESTERONA
1716,BRONOPOL
1717,CLOMETIAZOL
1719,TOSILATO DE TRETINIO
1720,TRIAZICUONA
1721,TIBAMATO
1722,MEBANAZINA
1725,NIFURCICLINA
1726,AMICICLINA
1727,PRAZEPAM
1728,SULAZEPAM
1729,TIOMESTERONA
1730,TOLNAFTATO
1731,ALOPURINOL
1732,CLORURO DE DIMETILTUBOCURARINIO
1733,ACLOMIDA
1734,ETAFEDRINA
1736,BROMURO DE QUINDONIO
1737,PIROVALERONA
1738,DIBENZEPINA
1739,PIMETIXENO
174,ASCORBATO DE SODIO
1740,METOCLOPRAMIDA
1742,METISAZONA
1744,PANTENOL
1745,FLUPENTIXOL
1746,CETOFENICOL
1747,NIFURTIAZOL
1748,ESPIROXASONA
1749,PROPIOLACTONA
1751,MESILATO DE AMIDEFRINA
1752,QUILIFOLINA
1753,TOFENACINA
1754,HEPZIDINA
1756,XILOCUMAROL
1758,CIHEPTROPINA
1759,HEXOBENDINA
176,CICLIZINA
1760,HOMOFENAZINA
1762,CLOPONONA
1764,MOBECARBO
1765,PIBECARBO
1766,CARFIMATO
